name,state,orig_county,established,discontinued,continuous,stamp_index,duration,latitude,longitude,state_full_name
MADDOX,AZ,Navajo,1914.0,1916.0,True,7.0,2.0,35.38529,-110.3207,Arizona
MADERA CANYON,AZ,Santa Cruz,1929.0,1942.0,True,3.0,13.0,31.72509,-110.8801,Arizona
MADERO,TX,Hidalgo,1915.0,1917.0,True,5.0,2.0,26.17063,-98.3314,Texas
MADOC,MT,Daniels,1915.0,1963.0,True,1.0,48.0,48.81086,-105.2858,Montana
MADRA,SD,McPherson,1918.0,1923.0,True,5.0,5.0,45.92998,-99.71651,South Dakota
MAES,NM,San Miguel,1913.0,1957.0,True,1.0,44.0,35.68171,-104.5947,New Mexico
MAGIC,ID,Camas,1913.0,1921.0,True,5.0,8.0,43.25518,-114.3867,Idaho
MAGIC CITY,TX,Wheeler,1933.0,1954.0,True,1.0,21.0,35.35755,-100.3785,Texas
MAGNET,TX,Wharton,1911.0,1954.0,True,1.0,43.0,29.15081,-95.9869,Texas
MAGNOLIA BEACH,TX,Calhoun,1910.0,1945.0,True,2.0,35.0,28.56028,-96.54275,Texas
MAKUA,HI,OAHU,1926.0,1928.0,True,6.0,2.0,21.53389,-158.2322,Hawaii
MALONE,UT,Millard,1913.0,1919.0,True,6.0,6.0,38.65274,-112.9819,Utah
MALTHUS,MT,McCone,1915.0,1915.0,True,6.0,0.0,47.86251,-106.0486,Montana
MANHATTAN BEACH,OR,Tillamook,1914.0,1954.0,True,1.0,40.0,45.63038,-123.9415,Oregon
MANICKE,MT,Lincoln,1915.0,1935.0,True,2.0,20.0,48.04161,-115.2982,Montana
MANILA,AZ,Navajo,1912.0,1918.0,True,5.0,6.0,34.96502,-110.4135,Arizona
MANOR,CA,Marin,1915.0,1953.0,True,1.0,38.0,37.99076,-122.5908,California
MANSON,MT,Pondera,1912.0,1922.0,True,4.0,10.0,48.23748,-112.0064,Montana
MANZANAR,CA,Inyo,1911.0,1929.0,True,3.0,18.0,36.73993,-118.0806,California
MANZANITA LAKE,CA,Shasta,1934.0,1967.0,True,1.0,33.0,40.53544,-121.5608,California
MANZORA,AZ,Cochise,1916.0,1918.0,True,7.0,2.0,32.0448,-109.9709,Arizona
MAPLE COVE,WA,Island,1912.0,1917.0,True,5.0,5.0,48.25316,-122.5163,Washington
MAPLELEAF,SD,Corson,1920.0,1942.0,True,3.0,22.0,45.92472,-100.8907,South Dakota
MAPLEWOOD,OR,Multnomah,1913.0,1954.0,True,1.0,41.0,45.46984,-122.7301,Oregon
MAR VISTA,CA,Los Angeles,1925.0,1954.0,True,1.0,29.0,34.00445,-118.4303,California
MARBLE CANYON,AZ,Coconino,1927.0,1965.0,False,1.0,38.0,36.81554,-111.6377,Arizona
MARBLE CREEK,ID,Shoshone,1916.0,1927.0,True,4.0,11.0,47.2527,-116.0318,Idaho
MARBLETON,WY,Sublette,1911.0,1930.0,True,3.0,19.0,42.55355,-110.1093,Wyoming
MARCELLUS,WA,Adams,1911.0,1926.0,True,3.0,15.0,47.23348,-118.4053,Washington
MARCIA,NM,Otero,1923.0,1942.0,True,2.0,19.0,32.8287,-105.7678,New Mexico
MARENGO,WA,Adams,1915.0,1960.0,True,1.0,45.0,47.02571,-118.1886,Washington
MARIGOLD,CA,Yuba,1911.0,1929.0,True,4.0,18.0,39.18128,-121.4577,California
MARINETTE,AZ,Maricopa,1912.0,1957.0,True,1.0,45.0,33.59754,-112.2718,Arizona
MARISCAL,TX,Brewster,1922.0,1928.0,True,3.0,6.0,29.09544,-103.1877,Texas
MARKHAM,OK,Creek,1915.0,1930.0,True,2.0,15.0,36.06118,-96.60752,Oklahoma
MARLEY,ID,Lincoln,1911.0,1915.0,True,6.0,4.0,43.01546,-114.2311,Idaho
MARMION,TX,Brazoria,1925.0,1926.0,True,5.0,1.0,29.14136,-95.61578,Texas
MARNE,MT,Stillwater,1922.0,1924.0,True,6.0,2.0,45.48606,-109.3104,Montana
MARNEL,CO,Pueblo,1917.0,1923.0,True,5.0,6.0,38.05556,-104.6291,Colorado
MARSH,CA,Contra Costa,1912.0,1913.0,True,6.0,1.0,38.00007,-121.8163,California
MARSH,MT,Dawson,1910.0,1962.0,True,1.0,52.0,46.88945,-104.9333,Montana
